lead_id,business_name,business_address,business_email,mobile_number,website_url,business_category,ratings,review_counts,top_review_1,top_review_2,top_review_3,google_map_url,personalized_email_subject,personalized_email_content,status,organization_number,registered_name,ceo_name,type_of_business,revenue,number_of_employees,year_of_registeration,headcount_2022,headcount_2021,headcount_2020,headcount_2019,headcount_2018,headcount_2017,revenue_track_2022,revenue_track_2021,revenue_track_2020,revenue_track_2019,revenue_track_2018,revenue_track_2017
8,Restaurang Prinsen,"Mäster Samuelsgatan 4, 111 44 Stockholm, Sweden",null,+46 8 684 238 1,restaurangprinsen.se,European restaurant,4.4,2,"Review by Gustaf Sjögren 
Recommended if you want to try classic Swedish cuisine.

Very friendly staff. Tasty gluten-free toast. Very nice classy locales. Received main courses 30 minutes after order so not the quickest service, but acceptable for the quality of food.

++Staff
+Food
+Gluten-free alternatives
+Locale

Only minus was that the heater was temporarily out of order which meant it was slightly colder than comfortable.","Review by S Berman 
Loved everything about this place, from the doorman who greeted us and took our coats to the wait staff with the witty comeback who didn't mind taking our photos.

The food was amazing, and was a great introduction to Scandinavian food. I cannot recall the names of the dishes so the photos will have to do. Our friend's colleague regaled us with stories of notable figures who dined there. Yet, there was no air of snobbishness. In fact, for me, at least, it gave off a very nice cozy feeling.

Reservation is a must as it is a very popular place.","Review by Sten Sun 
I visited here with my colleagues after work a little early.
I think the price is a little expensive, but they offer various and delicious menus, and I have enjoy it more deliciously because the manager even explained the food history himself.
I want to visit again next time and try all the menus. :)",https://www.google.com/maps/place/Restaurang+Prinsen/data=!4m7!3m6!1s0x465f77f95f9e2b8d:0xba7484e3144e2050!8m2!3d59.3343917!4d18.0732944!16s%2Fg%2F11fnlppz61!19sChIJjSueX_l3X0YRUCBOFOOEdLo?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
10,Centre Stockholm,"Stora Nygatan 26, 111 27 Stockholm, Sweden",null,null,null,Restaurant,4.4,71,"Review by Minh Long 
Laid back restaurant but the foods are very underwhelming. Portion is small and seasoning is bland. The smash potato taste like ready made kid’s foods.","Review by Aygun Bayramli (High.Low.Poly) 
It was quite tasty 😋 and good price for such a place","Review by Kavish Sharma 
Beautiful place. Nice ambiance. Explore the old Stockholm. Must visit.",https://www.google.com/maps/place/Centre+Stockholm/data=!4m7!3m6!1s0x465f77e25ae9524d:0xf62ad49a4ed8ab1c!8m2!3d59.3242173!4d18.069082!16s%2Fg%2F11cn93z7p6!19sChIJTVLpWuJ3X0YRHKvYTprUKvY?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
11,Grodan,"Grev Turegatan 16, 114 46 Stockholm, Sweden",null,+46 8 679 61 00,grodan.se,Swedish restaurant,4.3,1,"Review by Liviu Popa 
The food is great and the staff was very friendly and offered nice suggestions for food and drinks.
One of the beat stakes I had in Stockholm.","Review by Mike L. 
Ok so I am breaking down my review into two parts. One for the overall normal experience and the other for the special occasion.

1) Food: All the appetizers and main courses were tasty. The combo of flavors is definitely on point. Though for the lobster bisque I would personally prefer some lobster bits in it and the entrecôte ribeye itself can be a bit higher quality (nitpicking) but the seasoning and taste is good. The portions were just right so we weren’t too full or starving.

2) The service was great. Our waitress was super friendly and knew how to work the table! Honestly I don’t have too much to say because the service was that good.

3) Atmosphere was ok. Nothing stands out too much, it was fine. It could be a bit more spacious, since we bumped into the table behind us sometimes when we got up, but it was not like we couldn’t get out at all. Also parking might be a problem unless you go to the narrow parking garage nearby.

4) Price is high. It is an expens","Review by Omid Farahani 
One of Stockholms best venues for events and parties. The venue was super pretty and gave a luxury atmosphere white the food held the same standards with some really delicious courses. Melted in your mouth.",https://www.google.com/maps/place/Grodan/data=!4m7!3m6!1s0x465f9d5b43b8dc21:0x68545462e4cde5be!8m2!3d59.335892!4d18.0758046!16s%2Fg%2F1q5blgpnn!19sChIJIdy4Q1udX0YRvuXN5GJUVGg?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
12,Restaurant Pelikan,"Blekingegatan 40, 116 62 Stockholm, Sweden",info@pelikan.se,+46 8 556 090 9,pelikan.se,Swedish restaurant,4.3,3,"Review by Alexei Marshakov 
One of the oldest ( if not The oldest) restaurants in Stockholm, since 1664, at this location for the last 120 years. Beautifully decorated room. Great menu of traditional swedish dishes. Good beer, wine and liquor selection. Reasonable (for Stockholm) prices. Highly recommended","Review by Nelson Larios 
We had the meatballs, one plate between two was plenty. They were really big. The plate you are in the picture in a half portion. They were very delicious.","Review by Julien van der waal 
Delicious traditional Swedish food! Nice restaurant with a great atmosphere, we tried some of the local delicacies which were all delicious. The only real downside of this restaurant is that the waiter was rude and entitled. One example of this was that when they made a mistake in our bill, instead of saying sorry he just snatched the bill from my brother's hand. Would still recommend trying this place out!",https://www.google.com/maps/place/Restaurant+Pelikan/data=!4m7!3m6!1s0x465f77f73d7525ad:0xe80a3e24c56808c7!8m2!3d59.3105951!4d18.0762457!16s%2Fg%2F11dykjln2!19sChIJrSV1Pfd3X0YRxwhoxSQ-Cug?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
13,Lilla Ego,"Västmannagatan 69, 113 26 Stockholm, Sweden",info@lillaego.com,+46 8 27 44 55,lillaego.com,Swedish restaurant,4.7,947,"Review by Philip 
Just wow. The food was amazing! Had one of my best food experiences with the mushroom plate and the Löjrom! Add great service and you’ll have a night you’ll never forget. Will definitely come back next time I’m in Stockholm.","Review by Alexandros Giatzoglou 
Really nice experience. The level of food and service is very high. I totally recommend langoustine (Nordic lobster) starter and duck as a main.

What I would not recommend is booking table after 8.30 pm because at 11 pm sharp you need to leave and there may not be enough time to enjoy your dinner.","Review by Amanda W 
One of hardest restaurants in town to get a table.  And it was definitely worth the visit.  Well prepared food with interesting blend of tastes at a reasonable price in a casual laidback setting. Excellent service and recommendation of wine to the dishes.

My favorites were the starter Kantareller med morot och lavendel and dessert - bakad vaniljkräm med salsa macadamianötter  och getostskum.  Yummy!",https://www.google.com/maps/place/Lilla+Ego/data=!4m7!3m6!1s0x465f9d7046ec1fdf:0x952ecd59d96b87a7!8m2!3d59.3436209!4d18.0454792!16s%2Fg%2F11b5wmq5b7!19sChIJ3x_sRnCdX0YRp4dr2VnNLpU?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
14,Restaurang Kryp In,"Prästgatan 17, 111 29 Stockholm, Sweden",null,+46 8 20 88 41,restaurangkrypin.se,Swedish restaurant,4.5,1,"Review by Maulida Rahma 
The fish soup (fish and shellfish casserole) tastes really great! I love it.
The chocolate lingonberry truffle is also delicious, (balance of sweetness and bitterness)!
A little too expensive but has a cozy atmosphere for small talk.","Review by Papipupenta 
I believe that it is one of the best restaurant in Stockholm, Gamla stan. You must book in advance. Their meat, fish and others tasting were completely sophisticated . I would like to go there again if there is another opportunity to go Stockholm.","Review by Eana Kim 
Wow the foods were so good! (ordered a reindeer dish, meatball, and casserole) All were super tasty and flavorful. Glad that I visited this place based on the reviews!",https://www.google.com/maps/place/Restaurang+Kryp+In/data=!4m7!3m6!1s0x465f77e25e3d0805:0xc11466b1ea295eb6!8m2!3d59.3246672!4d18.0702473!16s%2Fg%2F11b6syvjds!19sChIJBQg9XuJ3X0YRtl4p6rFmFME?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
16,Restaurant Verandan,"Södra Blasieholmshamnen 8, 111 48 Stockholm, Sweden",null,+46 8 679 35 00,grandhotel.se,Swedish restaurant,4.5,429,"Review by John Maull 
I had a great smorgasbord dinner at the Verandan. The food was delicious and bountiful, and gave me a great perspective on Swedish cuisine. The friendly waiter guided me through the eating experience, making sure that I added for right sauces to the dishes. Sadly, the smorgasbord at the Grand Hotel is only one of two left in Stockholm.","Review by James Eisnor 
So the buffet is only available on weekends but I decided to come in anyway and do the three course meal for lunch. The staff was so kind and answered all questions I had about the food and the area.

Shout out to Roland who was my server. Such a kind man and gave me his personal recommendations for drinks and a brief history on red tea which I found very interesting. If I'm ever in Stockholm again I will definitely be returning","Review by Val Bpsoma 
SWEDEN | Stockholm ! Nice view to the sea! Must book before you go!",https://www.google.com/maps/place/Restaurant+Verandan/data=!4m7!3m6!1s0x465f9d59bb32aa59:0x6da33ac63ae22547!8m2!3d59.329731!4d18.0751324!16s%2Fg%2F1tj516ny!19sChIJWaoyu1mdX0YRRyXiOsY6o20?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
17,Mom's Kitchen Nybrogatan,null,null,null,null,Restaurant,4.6,1,"Review by Christopher Lim 
The place is a small shop with abt 4 tables. Food is more takeaway style but heated in a microwave, if dine in. Service is great. The staff explained to us what selections are available and was patient with us tourist. Selection is local food. Good for office lunch. But not great if expecting more. The meat and pancake lunch boxes, when heated, is quite rubbery. The surprise is the self-service salad. Fresh. Crunchy. Delicious.","Review by 張庭毓 
The restaurant is soooo nice. 5 huge meet balls with potatoes is 160 SEK. The taste and the texture of the meatballs are perfect! Also there are salad, bread, water and coffee for free, which you can eat so full.  The best part of the cute small restaurant I would say is the shopkeeper. He’s so nice and enthusiastic, pretty friendly with all the customers ☺️  highly recommended!","Review by X T (George) 
Staff was hospitable enough to explain what each dish was and the allergens. Takeaway style food that was equally amazing as it was microwaved when dining it. I highly recommend the bacon and pancakes.",https://www.google.com/maps/place/Mom%27s+Kitchen+Nybrogatan/data=!4m7!3m6!1s0x465f9d44de4750c3:0x6b38967126e20a16!8m2!3d59.3379997!4d18.0805937!16s%2Fg%2F11cm0kpzmd!19sChIJw1BH3kSdX0YRFgriJnGWOGs?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
18,Restaurant The Fishery,"Brunkebergstorg 14, 111 51 Stockholm, Sweden",brunkebergstorg@thefisheryfarm.se,+46 8 641 01 00,thefishery.se,Seafood restaurant,4.4,450,"Review by Papipupenta 
If you don't have enough time, it's good option to eat fish in Stockholm. We went there at dinner around 18:30 on Moday in August, 2023. They served foods fast. The tasting was good. The price was also good.","Review by Luciano Zaami 
Nice food. I had a great fish burger. Quantity was perfect, I got full. I've been there during lunch, the place was quite full but if you avoid to go between 12 and 1pm, you can find a more calmer place. Price are good, not expensive.","Review by Victoire Provost 
Very good! I took the fish burger and the fish was perfectly cooked but the potatoes and the salsa were too salty. The whole was also a bit expensive. Careful: it closes super early (8pm)",https://www.google.com/maps/place/Restaurant+The+Fishery/data=!4m7!3m6!1s0x465f9d5e91eca39b:0x4b7d4a67be08a4bc!8m2!3d59.3316642!4d18.0666728!16s%2Fg%2F11hzsw0qwb!19sChIJm6PskV6dX0YRvKQIvmdKfUs?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
20,Scandinavian Service Partner Stockholm Central,"101 35 Stockholm, Sweden",null,+46 8 613 62 00,null,Restaurant,null,0,null,null,null,https://www.google.com/maps/place/Scandinavian+Service+Partner+Stockholm+Central/data=!4m7!3m6!1s0x465f9d60db3c7c6f:0xd324383b5c2ef7a4!8m2!3d59.330207!4d18.0582619!16s%2Fg%2F1hc5pmf22!19sChIJb3w822CdX0YRpPcuXDs4JNM?authuser=0&hl=en&rclk=1,null,null,PENDING,,,,,,,,,,,,,,,,,,,
